Tên,Mô tả,Mức giá,Diện tích,Loại tin đăng,Địa chỉ,Mặt tiền,Đường vào,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Nội thất,Pháp lý,Tên dự án,Chủ đầu tư,Quy mô,Ngày đăng,Ngày hết hạn,Mã tin,Phòng ngủ,Hướng nhà,Loại tin,url,Tỉnh,Quận/Huyện
"Chính chủ cần bán gấp lô đất ngay gần chợ Sông Trầu, sổ hồng riêng thổ cư 100%. Giá 860tr","- Ngay chợ Sông Trầu.- Dân cư đang phát triển, dễ đầu tư.- Cách trung tâm Hành chính 3km.- Gần chợ. Trường học, UBND 1km.- Đường nhựa 8m, cách đường Nguyễn Hoàng 100m.- Diện tích: 90m2.- Sổ hồng thổ cư 100%, bao sang tên.- Giá: 860tr/nền.- Ngân hàng hỗ trợ vay 70%.- LH: 0792.80.81.86 chính chủ.",860.0,90.0,Bán đất,"Đường Sông Trầu, Xã Sông Trầu, Trảng Bom, Đồng Nai",,8.0,,-1,-1,-1,,Sổ đỏ/ Sổ hồng,,,,06/11/2021,13/11/2021,31319056,,,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-dat-duong-song-trau-xa-song-trau/chinh-chu-can-ban-gap-lo-ngay-gan-cho-so-hong-rieng-tho-cu-100-gia-860tr-pr31319056,Đồng Nai,Huyện Trảng Bom
"Bán lô đất TĐC giai đoạn 3 Bửu Long, Biên Hòa - 0949268682","Bán lô đất TĐC giai đoạn 3 Bửu Long, Biên Hòa.- Đường 2 xe hơi né nhau, điện nước âm, vỉa hè cây xanh tiện ích đầy đủ.- Diện tích: 4.2 x 19m.- Hướng Nam.- Giá bán 2.2 tỷ (chưa thuế).- Hotline (06): 0949.268.682 (HHP Land).Website: hhplanddongnai.comNhận ký gửi mua bán - cho thuê - sang nhượng.Trân trọng!",2200.0,79.8,Bán đất,"Phường Bửu Long, Biên Hòa, Đồng Nai",,10.0,,-1,-1,-1,,,,,,06/11/2021,13/11/2021,31319055,,Nam,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-dat-phuong-buu-long/ban-lo-tdc-giai-doan-3-bien-hoa-0949268682-pr31319055,Đồng Nai,Thành phố Biên Hòa (tỉnh lỵ)
"Duy nhất căn nhà phố vị trí đẹp khu Habor 1 Aqua City, DT 6x23m giá chỉ 15.419 tỷ. Trả chậm 3 năm","* Nhà phố giá tốt - đẹp không khác gì shophouse.* Một trong những căn nhà phố có vị trí đẹp nhất tại khu bến du thuyền 5 - Aqua Marina.* Townhouse T23 - 3.05.- DT: 6 x 23m = 138m2.- Xây dựng có: 1 tầng hầm - 1 trệt - 3 lầu - 1 sân thượng.- Nhà hướng sông Đồng Nai.- Giá gốc: 16,809 tỉ.- Giá ưu đãi trong tháng 11: 15,419 tỷ.* Ưu Điểm:- T23 - 3.05 có vị trí rất đẹp, đối diện là 2 Shophouse góc. Bên cạnh là cả một khu phố Thương Mại sầm uất.- Là 1 trong những căn nhà phố gần Quảng trường nhất.- Nằm trên trục đường thông di chuyển của khách tham quan từ phía khu Resort By Fusion đi về phía quảng trường trung tâm.- Bên cạnh là các ngã ba và ngã tư của các nhánh đường 22m và 12m. - Chỉ qua 1 dãy nhà là tới ngay đường lớn Hương Lộ 2 - 60m = Vị trí căn này rất thoáng, di chuyển thuận tiện, dễ nhìn thấy, dễ đặt biển quảng cáo - Trong Bán kính đi bộ từ 100m - 120m là tới ngay Toàn bộ các tiện ích vui chơi giải trí của khu Bến Cảng Mặt Trời Sun Harbor.- Bán kính 200m: Nhà hát, Yatch Club...- Đây là một sản phẩm rất đẹp nên có trong bộ sưu tập bất động sản của Quý anh chị.Liên hệ em để sở hữu ngay sản phẩm này nhé:0934.77.33.79 Mr. Thành GIỚI.",15419.0,138.0,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)","Dự án Aqua City, Đường Hương lộ 2, Xã Long Hưng, Biên Hòa, Đồng Nai",,,,4,-1,-1,,,Aqua City,Novaland Group,"11 phân khu với 15000 căn nhà phố, biệt thự, shophouse",06/11/2021,16/11/2021,31319054,,,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-nha-biet-thu-lien-ke-duong-huong-lo-2-xa-long-hung-6-prj-aqua-city/duy-t-can-pho-vi-tri-dep-khu-habor-1-dt-6x23-gia-chi-15-4-ty-tra-cham-3-nam-pr31319054,Đồng Nai,Thành phố Biên Hòa (tỉnh lỵ)
"Nhà mặt tiền đường Lê Hồng Phong, ngay vòng xoay Lê Hồng Phong và Nguyễn Đức Cảnh","Bán nhà mặt tiền đường Lê Hồng Phong, phường Phước Long, ngay vòng xoay Lê Hồng Phong - Nguyễn Đức Cảnh.- Diện tích: 74,5m2 ngang 4,77m. Nhà 3 tầng gồm 4 phòng, tổng diện tích sàn 223m2. Sổ hồng chính chủ.- Giá bán nhanh: 6,5 tỷ (thương lượng thiện chí).- Vị trí đẹp kinh doanh sầm uất, đường rộng 30m, mặt tiền hướng ra vòng xoay lớn thuận tiện kinh doanh, quảng bá thương hiệu.- Tuyến đường chính kinh doanh nhộn nhịp, gần các ngân hàng, cơ quan, siêu thị, Thế Giới Di Động, showroom xe.- Liên hệ: 0969.938.179 gặp em Thọ - chuyên môi giới BĐS Nha Trang. Chuyên nghiệp - Uy tín - Tận tâm.",6500.0,74.5,Bán nhà mặt phố (nhà mặt tiền trên các tuyến phố),"Đường Lê Hồng Phong, Phường Phước Long, Nha Trang, Khánh Hòa",4.77,30.0,,3,4,3,,Sổ đỏ/ Sổ hồng,,,,06/11/2021,13/11/2021,31319053,4 PN,Tây-Nam,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-nha-mat-pho-duong-le-hong-phong-phuong-phuoc-long/-tien-p-ngay-vong-xoay-p-va-nguyen-duc-canh-pr31319053,Khánh Hòa,Thành phố Nha Trang (tỉnh lỵ)
"Nhà MT đường số 4 Linh Xuân, ngay chợ 3MT đường, Thủ Đức","Nhà MT đường số 4, Linh Xuân, ngay chợ 3MT đường.Diện tích 4x20m, 2PN, 2WC, cho thuê dc 8 tr/tháng.Giá 1.8 tỷ.Số nhà quận, đồng hồ điện nước riêng.Mua bán công chứng vi bằng.",1800.0,80.0,Bán nhà mặt phố (nhà mặt tiền trên các tuyến phố),"Đường Số 4, Phường Linh Xuân, Thủ Đức, Hồ Chí Minh",4.0,20.0,,1,2,2,Cơ bản,Mua bán công chứng vi bằng,,,,06/11/2021,13/11/2021,31319052,2 PN,,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-nha-mat-pho-duong-so-4-phuong-linh-xuan/-mt-ds-4-ngay-cho-3mt-thu-duc-pr31319052,Hồ Chí Minh,Thành phố Thủ Đức
"Chính chủ cần bán nhanh lô đất mặt tiền nhựa Bắc Hoà - Phú Sơn, giá rẻ hơn thị trường","Chính chủ cần bán nhanh lô đất mặt tiền nhựa Bắc Hoà - Phú Sơn.Diện tích: 5x25m, quy hoạch ont.Cách đường QL1A 1km, bán kính 1km đầy đủ tiện ích như chợ, trường học các cấp...Khu dân cư đông đúc, phù hợp đầu tư lâu dài, kinh doanh..Giá bán nhanh chỉ 1,7xx tỷ.LH: 0962426282 Mr Thọ.",,125.0,Bán đất,"Đường Bắc Hòa - Phú Sơn, Xã Bắc Sơn, Trảng Bom, Đồng Nai",5.0,6.0,,-1,-1,-1,,,,,,06/11/2021,16/11/2021,30500121,,,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-dat-duong-bac-hoa-phu-son-xa-bac-son-11/-chinh-chu-can-ban-nhanh-lo-mat-tien-nhua-gia-re-hon-thi-truong-pr30500121,Đồng Nai,Huyện Trảng Bom
"Cần bán nhà hẻm xe hơi Huỳnh Mẫn Đạt, diện tích 5,5x14m, giá chỉ 11 tỷ còn bớt","Bán giảm giá mùa dịch nhà HXH Huỳnh Mẫn Đạt, Quận 5. Ngay trung tâm, vị trí đắc địa.Vị trí: Hẻm đẹp rộng rãi, xe hơi xe tải đậu trước nhà. Ngay trung tâm nên có nhiều tiện ích. Tiện di chuyển các quận trung tâm chỉ mất vài phút đi xe.- Diện tích: 5,5x14m.- Sổ hồng chính chủ, nhà trống giao ngay.- Giá bán: 11 tỷ thương lượng cho khách thiện chí.",11000.0,77.0,Bán nhà riêng,"Đường Huỳnh Mẫn Đạt, Phường 2, Quận 5, Hồ Chí Minh",,,,-1,-1,-1,,,,,,06/11/2021,13/11/2021,30920576,,,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-nha-rieng-duong-huynh-man-dat-phuong-2-15/can-ban-hem-xe-hoi-dien-tich-5-5x14m-gia-chi-11-ty-con-bot-pr30920576,Hồ Chí Minh,Quận 1
"Chính chủ cần bán đất P28, Bình Thạnh, SHR, 75m2, giá 4tỷ6 MT Bình Quới, XDTD, 09016.99991 Phát","Chính chủ cần bán gấp 1 lô duy nhất, đất mặt tiền đường Bình Quới, phường 28, quận Bình Thạnh. Sổ hồng riêng, bao công chứng.- Diện tích: 75m2.- Giá cực tốt: 4tỷ6/nền- Được bao quanh bởi sông Sài Gòn nên luôn mát mẻ, gần Cư Xá Thanh Đa, Quốc Lộ 13, Quốc Lộ 52.- Gần các trường ĐH Giao Thông Vận Tải, ĐH Hutech, ĐH Ngoại Thương.- Gần khu Thảo Điền, đi bến xe Miền Đông chỉ 5 phút.LH ngay: 09016.99991 Phát.",4600.0,75.0,Bán đất,"Đường Bình Quới, Phường 28, Bình Thạnh, Hồ Chí Minh",,,,-1,-1,-1,,Có sổ,,,,06/11/2021,13/11/2021,19662900,,,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-dat-duong-binh-quoi-phuong-28/chinh-chu-can-ban-p-28-thanh-shr-75m2-gia-2-1-ty-mt-xdtd-09016-99991-phat-pr19662900,Hồ Chí Minh,Quận Bình Tân
"Cơ hội đầu tư TP Thủ Đức! Đất KDC Hiệp Bình mới, Hiệp Bình Phước, Thủ Đức, DT 75m2 .giá 2.8 tỷ","Mở bán đợt 1 mặt tiền đường Hiệp Bình, phường Hiệp Bình Phước, Thủ Đức.- Diện tích 75m2 (5x15) - 80m2 (5x16).- Giá tốt: Chỉ từ 2.8 tỷ - 3.4 tỷ tỷ/nền (tuỳ lô, tuỳ vị trí).Có ngân hàng MB thẩm định hỗ trợ vay vốn lên đến 70%.Phương thức thanh toán linh hoạt.Xây dựng tự do, có hỗ trợ giấy phép xây dựng.Đường nhựa, thông thoáng, đảm bảo không ngập úng. Rộng 8m.Cơ sở hạ tầng đã hoàn thiện 100%, xây được ngay.Cách Quốc Lộ 13 chỉ 800m, ô tô vi vu thông ra đường lớn.Sổ hồng đầy đủ, rõ ràng, công chứng được ngay.Tiện ích xung quanh không thiếu thứ gì. Chỉ cần đi bộ 800m ra đến Quốc Lộ 13, trường chợ xung quanh, dân cư đông đúc...Tiện kinh doanh đa ngành nghề.Cơ hội vàng cho anh chị đầu tư.Nơi an cư lập nghiệp lý tưởng.LH 0931326007 gặp em Hưng để được tư vấn và hỗ trợ xem đất trực tiếp.",2800.0,75.0,Bán đất,"Đường Hiệp Bình, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",5.0,8.0,,-1,-1,-1,,Sổ đỏ/ Sổ hồng.,,,,06/11/2021,13/11/2021,31319051,,,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-dat-duong-hiep-binh-phuong-hiep-binh-phuoc/co-hoi-dau-tu-tp-thu-duc-kdc-moi-thu-duc-dt-75m2-gia-3-1-ty-pr31319051,Hồ Chí Minh,Thành phố Thủ Đức
"Đất đẹp khu trung tâm thương mại 550, gần Vietcombank sóng thần","Cần bán đất đường D3, kinh doanh buôn bán.Khu trung tâm thương mại sóng thần, gần ngã tư 550, gần Vietcombank.Đường nhựa vĩa hè, kinh doanh buôn bán, làm văn phòng.Diện tích 100m2, ngang 5x20m.Thổ cư 100%.Giá 5 tỷ.Liên hệ 0974993981.A Chiến.Công chứng sang tên.",5000.0,100.0,Bán đất,"Đường D3, Phường Dĩ An, Dĩ An, Bình Dương",5.0,,,-1,-1,-1,,,,,,06/11/2021,14/11/2021,31319050,,,Tin thường,https://batdongsan.com.vn/nha-dat-ban//ban-dat-duong-d3-phuong-di-an/can-ban-khu-trung-tam-thuong-mai-550-gan-vietcombank-song-than-pr31319050,Bình Dương,Thành phố Dĩ An
